locus,CHR,START,STOP
158,1,157000001,158000001
159,1,158000001,159000001
160,1,159000001,160000001
161,1,160000001,161000001
162,1,161000001,162000001
163,1,162000001,163000001
164,1,163000001,164000001
165,1,164000001,165000001
166,1,165000001,166000001
167,1,166000001,167000001
168,1,167000001,168000001
169,1,168000001,169000001
170,1,169000001,170000001
171,1,170000001,171000001
172,1,171000001,172000001
173,1,172000001,173000001
174,1,173000001,174000001
175,1,174000001,175000001
176,1,175000001,176000001
177,1,176000001,177000001
178,1,177000001,178000001
179,1,178000001,179000001
180,1,179000001,180000001
181,1,180000001,181000001
182,1,181000001,182000001
183,1,182000001,183000001
184,1,183000001,184000001
185,1,184000001,185000001
186,1,185000001,186000001
187,1,186000001,187000001
188,1,187000001,188000001
189,1,188000001,189000001
190,1,189000001,190000001
191,1,190000001,191000001
192,1,191000001,192000001
193,1,192000001,193000001
194,1,193000001,194000001
195,1,194000001,195000001
196,1,195000001,196000001
197,1,196000001,197000001
198,1,197000001,198000001
199,1,198000001,199000001
200,1,199000001,200000001
201,1,200000001,201000001
202,1,201000001,202000001
203,1,202000001,203000001
204,1,203000001,204000001
205,1,204000001,205000001
206,1,205000001,206000001
207,1,206000001,207000001
208,1,207000001,208000001
209,1,208000001,209000001
210,1,209000001,210000001
211,1,210000001,211000001
212,1,211000001,212000001
213,1,212000001,213000001
214,1,213000001,214000001
215,1,214000001,215000001
216,1,215000001,216000001
217,1,216000001,217000001
218,1,217000001,218000001
219,1,218000001,219000001
220,1,219000001,220000001
221,1,220000001,221000001
222,1,221000001,222000001
223,1,222000001,223000001
224,1,223000001,224000001
225,1,224000001,225000001
226,1,225000001,226000001
227,1,226000001,227000001
228,1,227000001,228000001
229,1,228000001,229000001
230,1,229000001,230000001
231,1,230000001,231000001
232,1,231000001,232000001
233,1,232000001,233000001
234,1,233000001,234000001
235,1,234000001,235000001
236,1,235000001,236000001
237,1,236000001,237000001
238,1,237000001,238000001
239,1,238000001,239000001
240,1,239000001,240000001
241,1,240000001,241000001
242,1,241000001,242000001
243,1,242000001,243000001
244,1,243000001,244000001
245,1,244000001,245000001
246,1,245000001,246000001
247,1,246000001,247000001
248,1,247000001,248000001
249,1,248000001,249000001
250,1,249000001,250000001
251,1,250000001,251000001
252,2,1,1000001
253,2,1000001,2000001
254,2,2000001,3000001
255,2,3000001,4000001
256,2,4000001,5000001
257,2,5000001,6000001
258,2,6000001,7000001
259,2,7000001,8000001
260,2,8000001,9000001
261,2,9000001,10000001
262,2,10000001,11000001
263,2,11000001,12000001
264,2,12000001,13000001
265,2,13000001,14000001
266,2,14000001,15000001
267,2,15000001,16000001
268,2,16000001,17000001
269,2,17000001,18000001
270,2,18000001,19000001
271,2,19000001,20000001
272,2,20000001,21000001
273,2,21000001,22000001
274,2,22000001,23000001
275,2,23000001,24000001
276,2,24000001,25000001
277,2,25000001,26000001
278,2,26000001,27000001
279,2,27000001,28000001
280,2,28000001,29000001
281,2,29000001,30000001
282,2,30000001,31000001
283,2,31000001,32000001
284,2,32000001,33000001
285,2,33000001,34000001
286,2,34000001,35000001
287,2,35000001,36000001
288,2,36000001,37000001
289,2,37000001,38000001
290,2,38000001,39000001
291,2,39000001,40000001
292,2,40000001,41000001
293,2,41000001,42000001
294,2,42000001,43000001
295,2,43000001,44000001
296,2,44000001,45000001
297,2,45000001,46000001
298,2,46000001,47000001
299,2,47000001,48000001
300,2,48000001,49000001
301,2,49000001,50000001
302,2,50000001,51000001
303,2,51000001,52000001
304,2,52000001,53000001
305,2,53000001,54000001
306,2,54000001,55000001
307,2,55000001,56000001
308,2,56000001,57000001
309,2,57000001,58000001
310,2,58000001,59000001
311,2,59000001,60000001
312,2,60000001,61000001
313,2,61000001,62000001
314,2,62000001,63000001
315,2,63000001,64000001
316,2,64000001,65000001
317,2,65000001,66000001
318,2,66000001,67000001
319,2,67000001,68000001
320,2,68000001,69000001
321,2,69000001,70000001
322,2,70000001,71000001
323,2,71000001,72000001
324,2,72000001,73000001
325,2,73000001,74000001
326,2,74000001,75000001
327,2,75000001,76000001
328,2,76000001,77000001
329,2,77000001,78000001
330,2,78000001,79000001
331,2,79000001,80000001
332,2,80000001,81000001
333,2,81000001,82000001
334,2,82000001,83000001
335,2,83000001,84000001
336,2,84000001,85000001
337,2,85000001,86000001
338,2,86000001,87000001
339,2,87000001,88000001
340,2,88000001,89000001
341,2,89000001,90000001
342,2,90000001,91000001
343,2,91000001,92000001
344,2,92000001,93000001
345,2,93000001,94000001
346,2,94000001,95000001
347,2,95000001,96000001
348,2,96000001,97000001
349,2,97000001,98000001
350,2,98000001,99000001
351,2,99000001,100000001
352,2,100000001,101000001
353,2,101000001,102000001
354,2,102000001,103000001
355,2,103000001,104000001
356,2,104000001,105000001
357,2,105000001,106000001
358,2,106000001,107000001
359,2,107000001,108000001
360,2,108000001,109000001
361,2,109000001,110000001
362,2,110000001,111000001
363,2,111000001,112000001
364,2,112000001,113000001
365,2,113000001,114000001
366,2,114000001,115000001
367,2,115000001,116000001
368,2,116000001,117000001
369,2,117000001,118000001
370,2,118000001,119000001
371,2,119000001,120000001
372,2,120000001,121000001
373,2,121000001,122000001
374,2,122000001,123000001
375,2,123000001,124000001
376,2,124000001,125000001
377,2,125000001,126000001
378,2,126000001,127000001
379,2,127000001,128000001
380,2,128000001,129000001
381,2,129000001,130000001
382,2,130000001,131000001
383,2,131000001,132000001
384,2,132000001,133000001
385,2,133000001,134000001
386,2,134000001,135000001
387,2,135000001,136000001
388,2,136000001,137000001
389,2,137000001,138000001
390,2,138000001,139000001
391,2,139000001,140000001
392,2,140000001,141000001
393,2,141000001,142000001
394,2,142000001,143000001
395,2,143000001,144000001
396,2,144000001,145000001
397,2,145000001,146000001
398,2,146000001,147000001
399,2,147000001,148000001
400,2,148000001,149000001
401,2,149000001,150000001
402,2,150000001,151000001
403,2,151000001,152000001
404,2,152000001,153000001
405,2,153000001,154000001
406,2,154000001,155000001
407,2,155000001,156000001
408,2,156000001,157000001
409,2,157000001,158000001
410,2,158000001,159000001
411,2,159000001,160000001
412,2,160000001,161000001
413,2,161000001,162000001
414,2,162000001,163000001
415,2,163000001,164000001
416,2,164000001,165000001
417,2,165000001,166000001
418,2,166000001,167000001
419,2,167000001,168000001
420,2,168000001,169000001
421,2,169000001,170000001
422,2,170000001,171000001
423,2,171000001,172000001
424,2,172000001,173000001
425,2,173000001,174000001
426,2,174000001,175000001
427,2,175000001,176000001
428,2,176000001,177000001
429,2,177000001,178000001
430,2,178000001,179000001
431,2,179000001,180000001
432,2,180000001,181000001
433,2,181000001,182000001
434,2,182000001,183000001
435,2,183000001,184000001
436,2,184000001,185000001
437,2,185000001,186000001
438,2,186000001,187000001
439,2,187000001,188000001
440,2,188000001,189000001
441,2,189000001,190000001
442,2,190000001,191000001
443,2,191000001,192000001
444,2,192000001,193000001
445,2,193000001,194000001
446,2,194000001,195000001
447,2,195000001,196000001
448,2,196000001,197000001
449,2,197000001,198000001
450,2,198000001,199000001
451,2,199000001,200000001
452,2,200000001,201000001
453,2,201000001,202000001
454,2,202000001,203000001
455,2,203000001,204000001
456,2,204000001,205000001
457,2,205000001,206000001
458,2,206000001,207000001
459,2,207000001,208000001
460,2,208000001,209000001
461,2,209000001,210000001
462,2,210000001,211000001
463,2,211000001,212000001
464,2,212000001,213000001
465,2,213000001,214000001
466,2,214000001,215000001
467,2,215000001,216000001
468,2,216000001,217000001
469,2,217000001,218000001
470,2,218000001,219000001
471,2,219000001,220000001
472,2,220000001,221000001
473,2,221000001,222000001
474,2,222000001,223000001
475,2,223000001,224000001
476,2,224000001,225000001
477,2,225000001,226000001
478,2,226000001,227000001
479,2,227000001,228000001
480,2,228000001,229000001
481,2,229000001,230000001
482,2,230000001,231000001
483,2,231000001,232000001
484,2,232000001,233000001
485,2,233000001,234000001
486,2,234000001,235000001
487,2,235000001,236000001
488,2,236000001,237000001
489,2,237000001,238000001
490,2,238000001,239000001
491,2,239000001,240000001
492,2,240000001,241000001
493,2,241000001,242000001
494,2,242000001,243000001
495,2,243000001,244000001
496,2,244000001,245000001
497,3,1,1000001
498,3,1000001,2000001
499,3,2000001,3000001
500,3,3000001,4000001
501,3,4000001,5000001
502,3,5000001,6000001
503,3,6000001,7000001
504,3,7000001,8000001
505,3,8000001,9000001
506,3,9000001,10000001
507,3,10000001,11000001
508,3,11000001,12000001
509,3,12000001,13000001
510,3,13000001,14000001
511,3,14000001,15000001
512,3,15000001,16000001
513,3,16000001,17000001
514,3,17000001,18000001
515,3,18000001,19000001
516,3,19000001,20000001
517,3,20000001,21000001
518,3,21000001,22000001
519,3,22000001,23000001
520,3,23000001,24000001
521,3,24000001,25000001
522,3,25000001,26000001
523,3,26000001,27000001
524,3,27000001,28000001
525,3,28000001,29000001
526,3,29000001,30000001
527,3,30000001,31000001
528,3,31000001,32000001
529,3,32000001,33000001
530,3,33000001,34000001
531,3,34000001,35000001
532,3,35000001,36000001
533,3,36000001,37000001
534,3,37000001,38000001
535,3,38000001,39000001
536,3,39000001,40000001
537,3,40000001,41000001
538,3,41000001,42000001
539,3,42000001,43000001
540,3,43000001,44000001
541,3,44000001,45000001
542,3,45000001,46000001
543,3,46000001,47000001
544,3,47000001,48000001
545,3,48000001,49000001
546,3,49000001,50000001
547,3,50000001,51000001
548,3,51000001,52000001
549,3,52000001,53000001
550,3,53000001,54000001
551,3,54000001,55000001
552,3,55000001,56000001
553,3,56000001,57000001
554,3,57000001,58000001
555,3,58000001,59000001
556,3,59000001,60000001
557,3,60000001,61000001
558,3,61000001,62000001
559,3,62000001,63000001
560,3,63000001,64000001
561,3,64000001,65000001
562,3,65000001,66000001
563,3,66000001,67000001
564,3,67000001,68000001
565,3,68000001,69000001
566,3,69000001,70000001
567,3,70000001,71000001
568,3,71000001,72000001
569,3,72000001,73000001
570,3,73000001,74000001
571,3,74000001,75000001
572,3,75000001,76000001
573,3,76000001,77000001
574,3,77000001,78000001
575,3,78000001,79000001
576,3,79000001,80000001
577,3,80000001,81000001
578,3,81000001,82000001
579,3,82000001,83000001
580,3,83000001,84000001
581,3,84000001,85000001
582,3,85000001,86000001
583,3,86000001,87000001
584,3,87000001,88000001
585,3,88000001,89000001
586,3,89000001,90000001
587,3,90000001,91000001
588,3,91000001,92000001
589,3,92000001,93000001
590,3,93000001,94000001
591,3,94000001,95000001
592,3,95000001,96000001
593,3,96000001,97000001
594,3,97000001,98000001
595,3,98000001,99000001
596,3,99000001,100000001
597,3,100000001,101000001
598,3,101000001,102000001
599,3,102000001,103000001
600,3,103000001,104000001
601,3,104000001,105000001
602,3,105000001,106000001
603,3,106000001,107000001
604,3,107000001,108000001
605,3,108000001,109000001
606,3,109000001,110000001
607,3,110000001,111000001
608,3,111000001,112000001
609,3,112000001,113000001
610,3,113000001,114000001
611,3,114000001,115000001
612,3,115000001,116000001
613,3,116000001,117000001
614,3,117000001,118000001
615,3,118000001,119000001
616,3,119000001,120000001
617,3,120000001,121000001
618,3,121000001,122000001
619,3,122000001,123000001
620,3,123000001,124000001
621,3,124000001,125000001
622,3,125000001,126000001
623,3,126000001,127000001
624,3,127000001,128000001
625,3,128000001,129000001
626,3,129000001,130000001
627,3,130000001,131000001
628,3,131000001,132000001
629,3,132000001,133000001
630,3,133000001,134000001
631,3,134000001,135000001
632,3,135000001,136000001
633,3,136000001,137000001
634,3,137000001,138000001
635,3,138000001,139000001
636,3,139000001,140000001
637,3,140000001,141000001
638,3,141000001,142000001
639,3,142000001,143000001
640,3,143000001,144000001
641,3,144000001,145000001
642,3,145000001,146000001
643,3,146000001,147000001
644,3,147000001,148000001
645,3,148000001,149000001
646,3,149000001,150000001
647,3,150000001,151000001
648,3,151000001,152000001
649,3,152000001,153000001
650,3,153000001,154000001
651,3,154000001,155000001
652,3,155000001,156000001
653,3,156000001,157000001
654,3,157000001,158000001
655,3,158000001,159000001
656,3,159000001,160000001
657,3,160000001,161000001
658,3,161000001,162000001
659,3,162000001,163000001
660,3,163000001,164000001
661,3,164000001,165000001
662,3,165000001,166000001
663,3,166000001,167000001
664,3,167000001,168000001
665,3,168000001,169000001
666,3,169000001,170000001
667,3,170000001,171000001
668,3,171000001,172000001
669,3,172000001,173000001
670,3,173000001,174000001
671,3,174000001,175000001
672,3,175000001,176000001
673,3,176000001,177000001
674,3,177000001,178000001
675,3,178000001,179000001
676,3,179000001,180000001
677,3,180000001,181000001
678,3,181000001,182000001
679,3,182000001,183000001
680,3,183000001,184000001
681,3,184000001,185000001
682,3,185000001,186000001
683,3,186000001,187000001
684,3,187000001,188000001
685,3,188000001,189000001
686,3,189000001,190000001
687,3,190000001,191000001
688,3,191000001,192000001
689,3,192000001,193000001
690,3,193000001,194000001
691,3,194000001,195000001
692,3,195000001,196000001
693,3,196000001,197000001
694,3,197000001,198000001
695,3,198000001,199000001
696,3,199000001,200000001
697,4,1,1000001
698,4,1000001,2000001
699,4,2000001,3000001
700,4,3000001,4000001
701,4,4000001,5000001
702,4,5000001,6000001
703,4,6000001,7000001
704,4,7000001,8000001
705,4,8000001,9000001
706,4,9000001,10000001
707,4,10000001,11000001
708,4,11000001,12000001
709,4,12000001,13000001
710,4,13000001,14000001
711,4,14000001,15000001
712,4,15000001,16000001
713,4,16000001,17000001
714,4,17000001,18000001
715,4,18000001,19000001
716,4,19000001,20000001
717,4,20000001,21000001
718,4,21000001,22000001
719,4,22000001,23000001
720,4,23000001,24000001
721,4,24000001,25000001
722,4,25000001,26000001
723,4,26000001,27000001
724,4,27000001,28000001
725,4,28000001,29000001
726,4,29000001,30000001
727,4,30000001,31000001
728,4,31000001,32000001
729,4,32000001,33000001
730,4,33000001,34000001
731,4,34000001,35000001
732,4,35000001,36000001
733,4,36000001,37000001
734,4,37000001,38000001
735,4,38000001,39000001
736,4,39000001,40000001
737,4,40000001,41000001
738,4,41000001,42000001
739,4,42000001,43000001
740,4,43000001,44000001
741,4,44000001,45000001
742,4,45000001,46000001
743,4,46000001,47000001
744,4,47000001,48000001
745,4,48000001,49000001
746,4,49000001,50000001
747,4,50000001,51000001
748,4,51000001,52000001
749,4,52000001,53000001
750,4,53000001,54000001
751,4,54000001,55000001
752,4,55000001,56000001
753,4,56000001,57000001
754,4,57000001,58000001
755,4,58000001,59000001
756,4,59000001,60000001
757,4,60000001,61000001
758,4,61000001,62000001
759,4,62000001,63000001
760,4,63000001,64000001
761,4,64000001,65000001
762,4,65000001,66000001
763,4,66000001,67000001
764,4,67000001,68000001
765,4,68000001,69000001
766,4,69000001,70000001
767,4,70000001,71000001
768,4,71000001,72000001
769,4,72000001,73000001
770,4,73000001,74000001
771,4,74000001,75000001
772,4,75000001,76000001
773,4,76000001,77000001
774,4,77000001,78000001
775,4,78000001,79000001
776,4,79000001,80000001
777,4,80000001,81000001
778,4,81000001,82000001
779,4,82000001,83000001
780,4,83000001,84000001
781,4,84000001,85000001
782,4,85000001,86000001
783,4,86000001,87000001
784,4,87000001,88000001
785,4,88000001,89000001
786,4,89000001,90000001
787,4,90000001,91000001
788,4,91000001,92000001
789,4,92000001,93000001
790,4,93000001,94000001
791,4,94000001,95000001
792,4,95000001,96000001
793,4,96000001,97000001
794,4,97000001,98000001
795,4,98000001,99000001
796,4,99000001,100000001
797,4,100000001,101000001
798,4,101000001,102000001
799,4,102000001,103000001
800,4,103000001,104000001
801,4,104000001,105000001
802,4,105000001,106000001
803,4,106000001,107000001
804,4,107000001,108000001
805,4,108000001,109000001
806,4,109000001,110000001
807,4,110000001,111000001
808,4,111000001,112000001
809,4,112000001,113000001
810,4,113000001,114000001
811,4,114000001,115000001
812,4,115000001,116000001
813,4,116000001,117000001
814,4,117000001,118000001
815,4,118000001,119000001
816,4,119000001,120000001
817,4,120000001,121000001
818,4,121000001,122000001
819,4,122000001,123000001
820,4,123000001,124000001
821,4,124000001,125000001
822,4,125000001,126000001
823,4,126000001,127000001
824,4,127000001,128000001
825,4,128000001,129000001
826,4,129000001,130000001
827,4,130000001,131000001
828,4,131000001,132000001
829,4,132000001,133000001
830,4,133000001,134000001
831,4,134000001,135000001
832,4,135000001,136000001
833,4,136000001,137000001
834,4,137000001,138000001
835,4,138000001,139000001
836,4,139000001,140000001
837,4,140000001,141000001
838,4,141000001,142000001
839,4,142000001,143000001
840,4,143000001,144000001
841,4,144000001,145000001
842,4,145000001,146000001
843,4,146000001,147000001
844,4,147000001,148000001
845,4,148000001,149000001
846,4,149000001,150000001
847,4,150000001,151000001
848,4,151000001,152000001
849,4,152000001,153000001
850,4,153000001,154000001
851,4,154000001,155000001
852,4,155000001,156000001
853,4,156000001,157000001
854,4,157000001,158000001
855,4,158000001,159000001
856,4,159000001,160000001
857,4,160000001,161000001
858,4,161000001,162000001
859,4,162000001,163000001
860,4,163000001,164000001
861,4,164000001,165000001
862,4,165000001,166000001
863,4,166000001,167000001
864,4,167000001,168000001
865,4,168000001,169000001
866,4,169000001,170000001
867,4,170000001,171000001
868,4,171000001,172000001
869,4,172000001,173000001
870,4,173000001,174000001
871,4,174000001,175000001
872,4,175000001,176000001
873,4,176000001,177000001
874,4,177000001,178000001
875,4,178000001,179000001
876,4,179000001,180000001
877,4,180000001,181000001
878,4,181000001,182000001
879,4,182000001,183000001
880,4,183000001,184000001
881,4,184000001,185000001
882,4,185000001,186000001
883,4,186000001,187000001
884,4,187000001,188000001
885,4,188000001,189000001
886,4,189000001,190000001
887,4,190000001,191000001
888,4,191000001,192000001
889,4,192000001,193000001
890,5,1,1000001
891,5,1000001,2000001
892,5,2000001,3000001
893,5,3000001,4000001
894,5,4000001,5000001
895,5,5000001,6000001
896,5,6000001,7000001
897,5,7000001,8000001
898,5,8000001,9000001
899,5,9000001,10000001
900,5,10000001,11000001
901,5,11000001,12000001
902,5,12000001,13000001
903,5,13000001,14000001
904,5,14000001,15000001
905,5,15000001,16000001
906,5,16000001,17000001
907,5,17000001,18000001
908,5,18000001,19000001
909,5,19000001,20000001
910,5,20000001,21000001
911,5,21000001,22000001
912,5,22000001,23000001
913,5,23000001,24000001
914,5,24000001,25000001
915,5,25000001,26000001
916,5,26000001,27000001
917,5,27000001,28000001
918,5,28000001,29000001
919,5,29000001,30000001
920,5,30000001,31000001
921,5,31000001,32000001
922,5,32000001,33000001
923,5,33000001,34000001
924,5,34000001,35000001
925,5,35000001,36000001
926,5,36000001,37000001
927,5,37000001,38000001
928,5,38000001,39000001
929,5,39000001,40000001
930,5,40000001,41000001
931,5,41000001,42000001
932,5,42000001,43000001
933,5,43000001,44000001
934,5,44000001,45000001
935,5,45000001,46000001
936,5,46000001,47000001
937,5,47000001,48000001
938,5,48000001,49000001
939,5,49000001,50000001
940,5,50000001,51000001
941,5,51000001,52000001
942,5,52000001,53000001
943,5,53000001,54000001
944,5,54000001,55000001
945,5,55000001,56000001
946,5,56000001,57000001
947,5,57000001,58000001
948,5,58000001,59000001
949,5,59000001,60000001
950,5,60000001,61000001
951,5,61000001,62000001
952,5,62000001,63000001
953,5,63000001,64000001
954,5,64000001,65000001
955,5,65000001,66000001
956,5,66000001,67000001
957,5,67000001,68000001
958,5,68000001,69000001
959,5,69000001,70000001
960,5,70000001,71000001
961,5,71000001,72000001
962,5,72000001,73000001
963,5,73000001,74000001
964,5,74000001,75000001
965,5,75000001,76000001
966,5,76000001,77000001
967,5,77000001,78000001
968,5,78000001,79000001
969,5,79000001,80000001
970,5,80000001,81000001
971,5,81000001,82000001
972,5,82000001,83000001
973,5,83000001,84000001
974,5,84000001,85000001
975,5,85000001,86000001
976,5,86000001,87000001
977,5,87000001,88000001
978,5,88000001,89000001
979,5,89000001,90000001
980,5,90000001,91000001
981,5,91000001,92000001
982,5,92000001,93000001
983,5,93000001,94000001
984,5,94000001,95000001
985,5,95000001,96000001
986,5,96000001,97000001
987,5,97000001,98000001
988,5,98000001,99000001
989,5,99000001,100000001
990,5,100000001,101000001
991,5,101000001,102000001
992,5,102000001,103000001
993,5,103000001,104000001
994,5,104000001,105000001
995,5,105000001,106000001
996,5,106000001,107000001
997,5,107000001,108000001
998,5,108000001,109000001
999,5,109000001,110000001
1000,5,110000001,111000001
1001,5,111000001,112000001
1002,5,112000001,113000001
1003,5,113000001,114000001
1004,5,114000001,115000001
1005,5,115000001,116000001
1006,5,116000001,117000001
1007,5,117000001,118000001
1008,5,118000001,119000001
1009,5,119000001,120000001
1010,5,120000001,121000001
1011,5,121000001,122000001
1012,5,122000001,123000001
1013,5,123000001,124000001
1014,5,124000001,125000001
1015,5,125000001,126000001
1016,5,126000001,127000001
1017,5,127000001,128000001
1018,5,128000001,129000001
1019,5,129000001,130000001
1020,5,130000001,131000001
1021,5,131000001,132000001
1022,5,132000001,133000001
1023,5,133000001,134000001
1024,5,134000001,135000001
1025,5,135000001,136000001
1026,5,136000001,137000001
1027,5,137000001,138000001
1028,5,138000001,139000001
1029,5,139000001,140000001
1030,5,140000001,141000001
1031,5,141000001,142000001
1032,5,142000001,143000001
1033,5,143000001,144000001
1034,5,144000001,145000001
1035,5,145000001,146000001
1036,5,146000001,147000001
1037,5,147000001,148000001
1038,5,148000001,149000001
1039,5,149000001,150000001
1040,5,150000001,151000001
1041,5,151000001,152000001
1042,5,152000001,153000001
1043,5,153000001,154000001
1044,5,154000001,155000001
1045,5,155000001,156000001
1046,5,156000001,157000001
1047,5,157000001,158000001
1048,5,158000001,159000001
1049,5,159000001,160000001
1050,5,160000001,161000001
1051,5,161000001,162000001
1052,5,162000001,163000001
1053,5,163000001,164000001
1054,5,164000001,165000001
1055,5,165000001,166000001
1056,5,166000001,167000001
1057,5,167000001,168000001
1058,5,168000001,169000001
1059,5,169000001,170000001
1060,5,170000001,171000001
1061,5,171000001,172000001
1062,5,172000001,173000001
1063,5,173000001,174000001
1064,5,174000001,175000001
1065,5,175000001,176000001
1066,5,176000001,177000001
1067,5,177000001,178000001
1068,5,178000001,179000001
1069,5,179000001,180000001
1070,5,180000001,181000001
1071,5,181000001,182000001
1072,6,1,1000001
1073,6,1000001,2000001
1074,6,2000001,3000001
1075,6,3000001,4000001
1076,6,4000001,5000001
1077,6,5000001,6000001
1078,6,6000001,7000001
1079,6,7000001,8000001
1080,6,8000001,9000001
1081,6,9000001,10000001
1082,6,10000001,11000001
1083,6,11000001,12000001
1084,6,12000001,13000001
1085,6,13000001,14000001
1086,6,14000001,15000001
1087,6,15000001,16000001
1088,6,16000001,17000001
1089,6,17000001,18000001
1090,6,18000001,19000001
1091,6,19000001,20000001
1092,6,20000001,21000001
1093,6,21000001,22000001
1094,6,22000001,23000001
1095,6,23000001,24000001
1096,6,24000001,25000001
1097,6,25000001,26000001
1098,6,26000001,27000001
1099,6,27000001,28000001
1100,6,28000001,29000001
1101,6,29000001,30000001
1102,6,30000001,31000001
1103,6,31000001,32000001
1104,6,32000001,33000001
1105,6,33000001,34000001
1106,6,34000001,35000001
1107,6,35000001,36000001
1108,6,36000001,37000001
1109,6,37000001,38000001
1110,6,38000001,39000001
1111,6,39000001,40000001
1112,6,40000001,41000001
1113,6,41000001,42000001
1114,6,42000001,43000001
1115,6,43000001,44000001
1116,6,44000001,45000001
1117,6,45000001,46000001
1118,6,46000001,47000001
1119,6,47000001,48000001
1120,6,48000001,49000001
1121,6,49000001,50000001
1122,6,50000001,51000001
1123,6,51000001,52000001
1124,6,52000001,53000001
1125,6,53000001,54000001
1126,6,54000001,55000001
1127,6,55000001,56000001
1128,6,56000001,57000001
1129,6,57000001,58000001
1130,6,58000001,59000001
1131,6,59000001,60000001
1132,6,60000001,61000001
1133,6,61000001,62000001
1134,6,62000001,63000001
1135,6,63000001,64000001
1136,6,64000001,65000001
1137,6,65000001,66000001
1138,6,66000001,67000001
1139,6,67000001,68000001
1140,6,68000001,69000001
1141,6,69000001,70000001
1142,6,70000001,71000001
1143,6,71000001,72000001
1144,6,72000001,73000001
1145,6,73000001,74000001
1146,6,74000001,75000001
1147,6,75000001,76000001
1148,6,76000001,77000001
1149,6,77000001,78000001
1150,6,78000001,79000001
1151,6,79000001,80000001
1152,6,80000001,81000001
